timestamp_utc,est_time,market,decision,buy_side,entry_price,exit_price,pnl,outcome,entry_remaining_secs,secs_to_60c,secs_to_70c,leader_bid_depth,leader_bid_70plus,other_bid_depth,depth_ratio,spread_at_buy,bid_levels_at_buy,btc_start,btc_at_buy,btc_at_end,btc_move_dollars,avg_spread,max_spread,spread_widened_before_exit,prev_window_side,prev_window_outcome,was_choppy,yes_high,no_high
2026-03-06 07:05:03,02:05:03,"Bitcoin Up or Down - March 6, 2:00AM-2:05AM ET",skip-no-leader,,0.0,0.0,0.0,skipped-no-leader,0.0,0,0,0.0,0.0,0.0,0,0.0,0,70613.13,0.0,70778.83,165.7,0.0063,0.02,False,Up,tp,False,1.0,0.3
2026-03-06 07:09:10,02:09:10,"Bitcoin Up or Down - March 6, 2:05AM-2:10AM ET",buy,Down,0.72,0.96,6.67,tp,132.0,92.6,164.8,8650.0,389.0,1667.0,5.19,0.01,72,70778.83,70735.62,70711.2,67.63,0.0137,0.04,False,Up,tp,False,0.52,0.96
2026-03-06 07:15:00,02:15:00,"Bitcoin Up or Down - March 6, 2:10AM-2:15AM ET",skip-no-leader,,0.0,0.0,0.0,skipped-no-leader,0.0,0,0,0.0,0.0,0.0,0,0.0,0,70667.44,0.0,70560.66,106.78,0.0096,0.02,False,Down,tp,False,0.23,1.0
2026-03-06 07:18:16,02:18:16,"Bitcoin Up or Down - March 6, 2:15AM-2:20AM ET",buy,Up,0.79,0.95,4.05,tp,176.0,92.6,102.9,9614.0,3647.0,1152.0,8.34,0.01,79,70560.66,70634.93,70654.0,93.34,0.0114,0.02,False,Down,tp,False,0.95,0.52
2026-03-06 07:23:04,02:23:04,"Bitcoin Up or Down - March 6, 2:20AM-2:25AM ET",buy,Up,0.82,0.94,2.93,tp,178.0,51.3,51.3,9035.0,3016.0,958.0,9.43,0.01,82,70699.99,70738.37,70760.47,60.48,0.0115,0.02,False,Up,tp,False,0.94,0.23
2026-03-06 07:30:06,02:30:06,"Bitcoin Up or Down - March 6, 2:25AM-2:30AM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,70740.01,0.0,70878.33,138.32,0.013,0.03,False,Up,tp,True,0.99,0.68
2026-03-06 07:33:22,02:33:22,"Bitcoin Up or Down - March 6, 2:30AM-2:35AM ET",buy,Up,0.77,0.97,5.19,tp,180.0,61.7,82.3,8712.0,2854.0,1187.0,7.34,0.01,77,70878.33,70917.21,70950.55,72.22,0.0129,0.03,False,Up,tp,False,0.97,0.38
2026-03-06 07:40:04,02:40:04,"Bitcoin Up or Down - March 6, 2:35AM-2:40AM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,70954.54,0.0,70895.62,58.92,0.0113,0.04,False,Up,tp,True,0.69,0.99
2026-03-06 07:45:03,02:45:03,"Bitcoin Up or Down - March 6, 2:40AM-2:45AM ET",skip-no-leader,,0.0,0.0,0.0,skipped-no-leader,0.0,0,0,0.0,0.0,0.0,0,0.0,0,70895.62,0.0,71075.52,179.9,0.0074,0.02,False,Up,tp,False,1.0,0.17
2026-03-06 07:49:41,02:49:41,"Bitcoin Up or Down - March 6, 2:45AM-2:50AM ET",buy,Up,0.84,0.95,2.62,tp,173.0,71.9,82.2,12204.0,5777.0,1540.0,7.92,0.01,84,71075.52,71162.31,71116.0,40.48,0.0118,0.04,False,Up,tp,False,0.95,0.4
